audio,caption
5DxuR1YuhSw-110.2.wav,وغادي كيتقدم فلاج والمهارة كطلع بكل بساطة فهاد الوقت لا بنادم كيتزاد كيكبر شوية كيوصل لديك طناش تلطاش ربعطاش لعام كيكون وصل متلا 
5DxuR1YuhSw-120.2.wav,لربعة لعشرة فمهارات التواصل والديه كيشريو ليه التيليفون كيدخل للبيت كيسد عليه كيبقى مخزون مع التيليفون ما كيهضر مع حد ما كيضحك مع حد وعاطيها غا للتجباد فوق السداري وحتى ديك الشوية من مهارات التواصل اللي طورها فصغرو كتبدا تنقص ملي كيكبر 
5DxuR1YuhSw-135.2.wav,و كيخرج للواقع وكيلقى راسو بلي خاصو يهضر مع الناس كيكتشف بلي معرفش كيفاش يهضر وفنفس الوقت معندوش دائرة اجتماعية لي غتعلمو يهضر ومعندوش 
5DxuR1YuhSw-145.2.wav,واش القدرة على انه يخلق واحد الدائرة اجتماعية هنا فين كيجي الدور ديال انك تعلم المهارة ديال التواصل حيت ملي غتعلم شنو غيوقع غطلع النيفو ديالك
5DxuR1YuhSw-155.2.wav,لديك ستة على عشرة وستة على عشرة قادرة انها تعطيك القدرة انك تصنع واحد الدائرة اجتماعية او ملي غتولي عندك واحد الدائرة اجتماعية اوطوماتيكمون غطلع المهارة 
5DxuR1YuhSw-165.2.wav,التواصل ديالك حتى لتمنية تسعود على عشرة حيت كيما قلت لك الدائرة هي اللي كتعلم ولكن باش تصنع الدائرة كتحتاج شوية ديال الأساسيات هاد
5DxuR1YuhSw-175.2.wav,هاد الاساسيات انا غنعلمهم ليك فالبودكاست ديال اليوما وبالمناسبة هاد المقدمة هادي را ماكايناش فالكتاب الى فتحتي الكتاب وقريتيه ماغاتلقاش هاد الهضرة هادشي غير بغيت نبدا بيه 
5DxuR1YuhSw-185.2.wav,باش نوضح ليك هاد الأمور حيت بزاف كيقوليك الى بغيتي تعلم هادشي خاصك ضروري التطبيق والكتوبة او المحاضرات مكينفعو فوالو ولكن لا ماشي فحال هكا فعلا محتاج التطبيق 
5DxuR1YuhSw-195.2.wav,ومحتاج تتحك مع الناس ولكن باش يكونوا هاد الناس وباش تجذب الناس خاص خص يكونوا عندك الأساسيات وهاد الأساسيات للأسف كيفتاقدهم هاد الجيل اللي طالع 
5DxuR1YuhSw-205.2.wav,المهم نرجعو وندخلو فالكتاب ديالنا ونبداو بأول بارتي اول خطوة باش تهضر مع شي واحد هي خاصك تعرف داك الواحد علاش باغي يهضر على حسب الكاتبة السبب الوحيد لي غيخلي شي واحد باغي يهضر معاك هو ملي غيعرف 
5DxuR1YuhSw-220.35.wav,كيعجبك يعني نتا كشخص كيعجبك هو كشخص حيت حنا البشر طبيعيا ملي كنهضرو مع شي واحد بلا ما نحسو كيكون الهدف ديالنا هو نعجبوه راه نتا 
5DxuR1YuhSw-230.35.wav,ولا نتي لي كتسمعني دابا راه فحال هاكا ملي كتهضر مع شي واحد واش ماشي كتحس براسك فحال باغي تعجبو وحتى داك خونا لي قدامك كيهضر معاك ملي كتهضر معاه راه في اللاواعي ديالو
5DxuR1YuhSw-240.35.wav,الهدف الأول ديالو فداك الحوار هو يعجبك فملي شي واحد مكيعرفش راسو واش عجبك ولا لا كيتوسوس وما كيعرفكش واش باغي تهضر معاه ولا لا وما كيبقاش على 
5DxuR1YuhSw-250.35.wav,وبالتالي مكيحسش معاك بالأمان وحتى ديك الرغبة باش انه يعجبك كتمشيلو حيت صافي كيحس بيك صعب الإرضاء وكيعكز يدير واحد المجهود كبير انه يعجبك
5DxuR1YuhSw-260.35.wav,واحد ايلا ما حاولش يعجبك راه ما كيبقاش كيستمتع بالهضرة معاك وفي نفس الوقت حنا كبشر كائنات اجتماعية وكنستمتعو ملي كنحسو براسنا محبوبين فحال واحد
5DxuR1YuhSw-270.35.wav,دوز ديال السعادة كتطلق ليك في الجسد ديالك وطبعا الدماغ اي حاجة كدير لو هدا هي ادمان بالنسبة ليه وكيبغي يعاودها مرة خرى يعني ملي شي واحد غيحس براسو عجبك 
5DxuR1YuhSw-280.35.wav,غيبغي يعاود يحس بديك السعادة فالمستقبل وغيبغي يهضر معاك مرة خرى داكشي لاش ديما الانسان خاصو يحس بلي راك ساهل للإرضاء وهادشي عاد غادي نزيد نشرح
5DxuR1YuhSw-290.35.wav,شرح ليك كيفاش ديرو من بعد ولكن شنو المشكل لي غتواجه الا بغيتي دير هادشي ايه بين لبنادم انه كيعجبك كتبان ساهلة ولكن كاين واحد الحاجة لي غتخليك 
5DxuR1YuhSw-300.35.wav,ما قادرش ديرها دابا را ملي كتلاقى شي واحد را حتى انت كتبغي تعجبو وكيتخلق ليك لداخل فيك واحد النوع ديال عدم الارتياح بسبب هادشي
5DxuR1YuhSw-310.35.wav,غي تعجبو وهادشي كيتخلط مع الخوف ديالك من الرفض وكتبقى مركز غير على راسك حيت فلخر التواصل هو لعبة نفسية وهادشي بالضبط لي بغيتك تشدو معايا 
5DxuR1YuhSw-320.35.wav,دابا التواصل هو لعبة نفسية او بمعنى اخر هو حرب نفسية انت باغي تعجبو وهو باغي يعجبك كاينين شي وحدين فاهمين هادشي تقدر غير تفكر
5DxuR1YuhSw-330.35.wav,شي استاذ قراك وكان عزيز عليك غتلقاه ديما السبب ديال هاد المعزة كانت هو ان او كان كيبين ليك بلي راك عاجبو كيهضر معاك كيهدر عليك فقسم ربما او هادي واحد
5DxuR1YuhSw-340.35.wav,الحاجة الناس اللي كتلقى عندهم كاريزما ومحبوبين كتلقاهم عارفينها كتلقاه كيدخل شي بلاصة كيهضر مع هادا وكيعيط لهدا وكيضحك مع هادا وكيخلي بنادم يحس بلي را عندو قيمة 
5DxuR1YuhSw-350.35.wav,فمن دابا الفوق ملي تجي تهضر مع شي واحد ما تبقاش مركز غا على راسك ما تبقاش مركز على انك باغي تعجبو حاول دير واحد سويتش يعني حاول 
5DxuR1YuhSw-360.35.wav,تبدل النفسية ديالك من كيفاش باغي تحسن لكيفاش بغيتيه هو يحس وملي غتبين للشخص الاخر بلي راه عاجبك هو نتا غتعجبو اوطوماتيكمون 
5DxuR1YuhSw-370.35.wav,وغيبغي هو يزيد يعجبك كتر وغتلقاه باغي غير فوقاش يهضر معاك كيفاش دير هادشي هادشي كامل غنزيدو نتعمقو فيه في الفصول القادمة ولكن 
5DxuR1YuhSw-380.35.wav,ملاحظة قبل منكملو الفيديو هادشي لي قلت لك ولي غنقولك كديرو مع الناس وفي العلاقات العادية ديالك وغير في اطار التواصل اما في العلاقات العاطفية  
5DxuR1YuhSw-390.35.wav,المهنية هادشي ما خاصكش طبقو بالحرف كل عندها الحالة ديالها هاد البارتي ديال الفيديو غنهضرو فيها على الإنطباع  
5DxuR1YuhSw-403.85.wav,وغنهضرو فيها على ما يسمى بنون فيربال سيكنالز الاشارات الغير اللفظية شنو زعما هاد نون فيربال سيكنالز بكل بساطة هي لغة الجسد 
5DxuR1YuhSw-413.85.wav,كلشي داكشي اللي كديرو ولا اللي دايرو من غير داكشي اللي كتخرج من فمك يعني الإشارات غير اللفظية غتقولي دابا شنو العلاقة ديال هادشي بالإنطباع الأول وعلاش 
5DxuR1YuhSw-423.85.wav, غنهضر غير على هادشي فهاد لبارتي من البودكاست  على حسب الهضرة د الكاتبة الاشارة الغير اللفظية كتشكل تمانين فالمية من الانطباع الاول والطريقة اللي كيشوفوك بيها
5DxuR1YuhSw-433.85.wav,بها الناس وهاد الرقم ديال تمانين فالمية فينما مشيتي غتلقاه اي كتاب قريتيه اي ارتيكل قريتي غتلقاهم كيقولو هاد تمانين فالمية وكيعاودو فيها هاد تمانين فالمية هادي من ديما كنت 
5DxuR1YuhSw-443.85.wav, كنقراها حتى جا واحد النهار وبغيت نتأكد منها وبغيت نعرف المصدر ديالها شدرت مشيت كنقلب عليه او ملقيت حتى شي مصدر علمي ولا دراسة علمية دارت 
5DxuR1YuhSw-453.85.wav,وخرجات لينا هاد الرقم ولكن لي لقيت هوما كاينين دراسات وغنخلي ليك واحد الدراسة فديسكريبسيون في كتقولك بلي الاشارات الغير اللفظية كتشكل تلاتة وتسعين 
5DxuR1YuhSw-463.85.wav,تسعين فالمية من الانطباع الاول يعني راه ملي كتكون كتهدر مع شي واحد ديك الهضرة اللي كتقولها ما عندها حتى قيمة كلشي على داكشي اللي ما كتقولوش ولكن كتبقى هاد 
5DxuR1YuhSw-473.85.wav,القيمة ديال تمانين فالمية كتقال احتياطا حيت كاينين شي حالات استتنائية لهذا سمعني مزيان او خلينا نرجعو للكتاب ديالنا او نتعمقو فهاد نون فيربال سيكنالز نتا 
5DxuR1YuhSw-483.85.wav,ولا نتي كتشكل واحد الانطباع غريزيا بلا متحس على كل واحد كتشوفو فدوك الثواني اللولة قبل حتى ما تهضر معاه وقبل حتى ما تعطيه فرصة انه يقول شي حاجة من الشوفة 
5DxuR1YuhSw-493.85.wav,وفاللولة كتكون حطيتي افتراضيات على الشخصية ديالو المستوى ديال الثقة ديالو الوضع الاجتماعي والمهني ديالو واللي اهم من هادشي كتكون حددتي واش هادا من نوع 
5DxuR1YuhSw-503.85.wav,وعلي تبغي تهضر معاه ودير صداقات معاه وهادشي نفسو كينطابق على الناس لخرين حتى الناس لخرين كيحطو افتراضات على واش يبغيو يهضرو معاك في اللحظة لي كيشوفوها فيك 
5DxuR1YuhSw-513.85.wav,وهاد الافتراضات كيتحطو بناء على واحد الاساس ولي هو لغة الجسد والطريقة اللي واقف بها والراحة ديالك والابتسامة ديالك عينك كيفاش كتشوف وكلشي اللي داير بيك 
5DxuR1YuhSw-523.85.wav,فشنو هو الفرق بين اشارات مزيانة واشارات ماشي مزيانة باش نفهمو هاد الفرق نرجع معاك للهضرة اللي كنت قلتها ليك قبيلا واللي هي القاعدة ديال اي حوار 
5DxuR1YuhSw-533.85.wav,محادثة باش نهضرو مع شي واحد خصنا نعرفوه واش حنا كنعجبوه يعني باش شي واحد يبغي يهضر معاك خاصو يعرف بلي هو كيعجبك بلي نتا ولا نتي 
5DxuR1YuhSw-543.85.wav,باغي تهضر معاه الطريقة باش كيعرفها ماشي كيشوفك وكتشوف فيه وكتقولو هاي  عجبتيني وكيجي كيجري عندك وكيقولك حتى انت عجبتني وكتبداو تهضرو كيعرفها عن طريق هاد الإشارات 
5DxuR1YuhSw-553.85.wav,الغير اللفظية غتعاود تسولني عاود كيفاش غيعرفها مالو هو واش ما عندو مايدار ينوض ويبدا يحلل فالتصرفات ديالي هنا باش نجاوبك على هاد السؤال غانخرج 
5DxuR1YuhSw-563.85.wav,خرج على الكتاب وخليني نشرح ليك واحد الحاجة مهمة حنا البشر كائنات اجتماعية لداخل فينا كاينين الجينات مسؤولة على هاد لكوطي ديال التواصل 
5DxuR1YuhSw-573.85.wav,هاد الجينات هادو عندهم علاقة باللاواعي ديالنا راه نتا ولا نتي ملي كتكون كاتهضر مع شي واحد داكشي لي كتقولو وداكشي لي كتسمعو كديرو بالعقل الواعي ديالك 
5DxuR1YuhSw-583.85.wav,يعني بالوعي ديالك انت عارف اش كدير ولكن في اللحظة لي كتكونو كتهضرو بالعقل الواعي العقل اللاواعي ديالك كيكون كيهضر مع العقل اللاواعي ديالو هو 
5DxuR1YuhSw-593.85.wav,والعقل اللاواعي ديالك هو لي كيحدد داك خونا لي قدامك واش نتا ولا نتي باغيه فحياتك كيما حتى هو العقل اللاواعي ديالو هو لي كيحدد داكشي علاش 
5DxuR1YuhSw-603.85.wav,شحال من مرة كتهضر مع شي واحد وكيعجبك وكتبغي تعاود تهضر معاه بلا ما تعرف علاش واخا هو داكشي اللي قال لك ما زاد لك حتى قيمة في حياتك وشي بعض المرات كتهضر مع شي واحد راسو عامر ودماغ 
5DxuR1YuhSw-613.85.wav,وعندو فاش يفيدك وواخا هكاك مكيدخلش ليك للقلب علاش حيت داكشي اللاواعي ديالك هو لي مسؤول عليه فملي كتمشي نتا ولا نتي تهضر مع شي واحد بلا مايحس 
5DxuR1YuhSw-623.85.wav,اللاواعي ديالو كيكون خدام كيحلل فيك وكيشوفك واللاواعي ديالو ممسوقش لداكشي لي كتقول اللاواعي ديالو كيشوف لغة الجسد ديالك كيشوف 
5DxuR1YuhSw-633.85.wav, ديالك الطريقة لي كضحك بها وكيشوف داكشي لي كديرو ونتا باللاواعي ديالك هادي فكرة زوينة شوف الهضرة اللي كتقولها كتقولها بالعقل الواعي ديالك هادي
5DxuR1YuhSw-643.85.wav,فهمناها ولكن لغة الجسد ديالك والابتسامة ديالك والتحركات ديالك راه كديرهم باللاواعي ديالك راه ملي كتكون كتمشى راه مكتبقاش مركز مع رجلك 
5DxuR1YuhSw-653.85.wav,وكتقول هاد الرجل غنحطها هنا وهاد الرجل غنحطها هنا ولا ملي كتكون كتنفس مكتبقاش تقول شهيق زفير كلشي كديرو بلا ما تحس هادشي لي كديرو باللاواعي ديالك 
5DxuR1YuhSw-663.85.wav,هو لي كيشوفو اللاواعي ديال لاخر لي قدامك المحادثة بين جوج د الناس ايه جوج كيهدرو ولكن في الخلفية د المحادثة راه كاين محادثة خرا كدور 
5DxuR1YuhSw-673.85.wav,بين اللاواعي ديالهم جوج فهمتيني ما فهمتينيش ماشي مهم هادشي غير بغيت نزيدو لك فراسك لي خاصك تعرف دابا هو انه الى بغيتي تقن 
5DxuR1YuhSw-683.85.wav,قنفن الإنطباع الأول اول حاجة خاصك ديرها هي ترد البال مع لغة الجسد ديالك ودوك الإشارات لي كتصيفطهم لهاداك لي قدامك ومن لخر خصك تعلم 
5DxuR1YuhSw-693.85.wav,كيفاش تقول لهاداك اللي قدامك انا احبك بلا ما تقولها بفمك دابا انا غانقولك داكشي اللي فالكتاب وفنفس الوقت نزيدك شي حوايج مكتوبة ومن مصادر خرين نبداو بالتقنية 
5DxuR1YuhSw-703.85.wav,هي اللولة وقف مزيان شوف انك توقف مسرح ظهرك ومخرج سدرك هاد القضية هضر عليا فالكتاب ديال طناش قاعدة على الحياة ديال جوردان بيترسون تقدر ترجع لهاد الكتاب راه ديجا هدر 
5DxuR1YuhSw-713.85.wav,هضرت عليه فلاشين كنت شرحت مزيان هاد القضية وحتى على كيفاش ديرها ولكن باختصار حاول تسرح ظهرك حتى ترجع عادة ديالك تمشي مسرح حيت الى كنتي غادي 
5DxuR1YuhSw-723.85.wav,كتافك هابطين لتحت ويدك مجموعين لاخر مكيحسش بيك كترحب بيه او مكيحسش بالأمان انه يهضر معاك وهادي واحد الحاجة ماخصكش ديرها غا باش تعجب الناس 
5DxuR1YuhSw-733.85.wav,هادي واحد الحاجة لي كديرها على ود راسك راه من مصلحة النفسية ديالك والجسد ديالك انك تمشي مسرح الحاجة الثانية وهادي زوينة واللي هي تبنى لغة جسد 
5DxuR1YuhSw-743.85.wav,مرتاحة وحيد دوك المعيقات الجسدية الكاتبة كتقولك بلي ديك لغة الجسد الدفاعية كتمنع الناس من انهم يهضرو معاك متلا كتهدر مع شي واحد وكتحك فراسك ولا 
5DxuR1YuhSw-753.85.wav,تحرك رجلك بالزربة ولا كتلعب بشي حاجة في يدك هادي كترسل اشارات الى انك مستريسي ولا تكون جالس وجامع رجلك ويدك هادي كتعطي اشارات دفاعية ولكن 
5DxuR1YuhSw-763.85.wav,كي نشوف انا مغنبقاش نقولك جلس فتح يدك ونبدا كنخطب عليك ونهدر على كيفاش تبان مرتاح حيت هادشي تقدر تسمعو فأي بلاصة خرى وكلشي كيهضر على 
5DxuR1YuhSw-773.85.wav,على هادشي وانا متأكد بلي نتا ولا نتي عارف هادشي وخا عمرك غتكون قلبتي عليه ولكن هنا فين فين كتجي العبقرية هنا فين كاين القالب خليني نشرح لك علاش اصلا ايلا كنتي 
5DxuR1YuhSw-783.85.wav,كتهدر مع شي واحد ما كتبناش لغة جسد مرتاحة الجواب هو بكل بساطة حيت مكتكونش مرتاح الدماغ ملي كدير شي حاجة مموالفش كديرها كيحطك فوضعي 
5DxuR1YuhSw-793.85.wav,وضعية دفاعية هادشي عادي الا بغيتي دوش بلما بارد او مكنتيش مولف بيه تبدا ترعد وغي تبدا تعصر غا بوحدك نفس الحاجة مع الناس الى كنتي شي واحد 
5DxuR1YuhSw-803.85.wav,ما موالفش كيهضر بزاف مع الناس جداد كنتي شي واحد كيبقى غير فالمحيط الصغيور ديالو راه نورمال الى هضرتي مع شي كاطيغوري جديدة ديال الناس دماغك ماغايفهمش اش واقع 
5DxuR1YuhSw-813.85.wav,غا يبدا يدافع هاد الدفاع المعنى ديالو هو عدم الارتياح ما غتكونش مرتاح وبالتالي عدم الإرتياح كينعاكس على لغة الجسد ديالك حيت كيما قلت لك في اللول 
5DxuR1YuhSw-823.85.wav,كلشي داير على اللاواعي ديالك داكشي كتبدا ديرو بلا ما تحس فكيفاش باش تربح هاد القالب ديال اللاوعي كيفاش تحول من لغة جسد غير مرتاحة الى لغة 
5DxuR1YuhSw-833.85.wav,جسد مرتاحة بكل بساطة غادي دخل العقل الواعي ديالك فالمعادلة ماتخليش اللاوعي ديالك بوحدو لي خدام دخل حتى الوعي ديالك يعني العقل الوعي ديالك ولكن 
5DxuR1YuhSw-843.85.wav,لكن شوف مدخلوش فلغة الجسد دخلو في النفسية ديالك حيت اللغة الجسد انعكاس ديال النفسية حاول تتحكم في النفسية ديالك ملي تجي تهضر 
5DxuR1YuhSw-853.85.wav,تهضر مع شي واحد رتاح ما تسوقش للغات الجسد ديالك غير رتاح قل داكشي لي فراسك وبقا تحرك فيدك كيما بغيتي وملي تحس براسك كاتوتر 
5DxuR1YuhSw-863.85.wav,تصالح مع داك التوتر قول وها انا تستريسيت ومن بعد شنو غنخسر لي كتبنى هاد العقلية ديال والا توترت ومن بعد كتبدا ترتاح شوية بشوية 
5DxuR1YuhSw-873.85.wav,ومع الوقت كتولف انك تهضر مع ناس جداد وما كتبقاش مسوق او اوطوماتيكمون كتبدا دير لغة جسد مرتاحة او فنفس الوقت جلس جلسة مرتاحة ماتفكرش 
5DxuR1YuhSw-883.85.wav,فالطريقة اللي غتجلس بها فكر بلي خصك دير جلسة ولا وقفة مرتاحة ملي غتركز على انك تكون مرتاح بلا متحس غتلقى راسك عندك لغة جسد 
5DxuR1YuhSw-893.85.wav,مرتاحة هادي هي احسن طريقة اما ديك شد وبدات تقول خاصني نفتح رجلي مخصنيش نحك راسي مخصنيش ندير هادي وخصني ندير هادي تيقني هادو 
5DxuR1YuhSw-903.85.wav,افكار قديمة والوقت اكد الخطأ ديالها حيت بالمناسبة هاد الكتاب تكتب في الف وتسعمية وتسعود وتسعين فهاد العام هادو كانوا طرق باقيين منتشرين داكشي علاش 
5DxuR1YuhSw-913.85.wav,لاش حتى الكتاب هضر عليهم ولكن فالحقيقة احسن طريقة باش انك تبنى لغة جسد صحيحة هي توعى بالحالة النفسية ديالك وتفكر انك تكون مرتاح 
5DxuR1YuhSw-924.15.wav,التقنية الثالثة اللي عندنا هي عبارة على واحد لباك ديال جوج تصرفات واللي هوما الابتسامة والتواصل البصري خلينا نبداو بالابتسامة وهادي رسالة ليكم كاملين 
5DxuR1YuhSw-934.15.wav,ما تبقاش غادي وكتبسم لأي واحد راه الإبتسامة ديالك خصك تعطيها للإنسان اللي كيستحقها تخايل معايا شي حمق غادي فالزنقة واي واحد كيشوف فيه كيضحك معاه واش منلي غاي 
5DxuR1YuhSw-944.15.wav,لي غايجي عندك ويضحك معاك غاتعطيه للضحكة ديالو شي قيمة الجواب هو لا غالبا ردة الفعل ديالك غتكون ابتسامة صفرا ما هازة معاها حتى ذرة صدق او ذرة 
5DxuR1YuhSw-954.15.wav,احترام وتقدير فملي تلاقى مع شي واحد متبسمش فلول شوفلو عينو بواحد الوجه بدون تعابير وموراها عاد دير واحد الابتسامة خفيفة 
5DxuR1YuhSw-964.15.wav,هاكا هو كيحس بلي ديك الابتسامة درتيهالو هو وماشي شي واحد لي كيضحك مع اي واحد واحد خور الابتسامة ديالك ملي كتجي معطلة كتكون عندها قيمة هادي اولا 
5DxuR1YuhSw-974.15.wav,التويشية التانية اللي عدنا في الباك هي التواصل البصري ويلا كنتي كتسناني نشرح لك هادي فواش من نيتك هادي ما غتحتاجش نبقى نقولها ليك 
5DxuR1YuhSw-984.15.wav,اي واحد كتهضر معاه بقا تشوفلو فعينو التقنية الرابعة ضاهر بلي راكم صحاب مقربين ومرة اخرى هنا غادي ترجع لديك الفكرة لي شرحتها ليك قبيلا كلشي ضاير على النفسية ديالك ملي 
5DxuR1YuhSw-996.7.wav,تشوف وتهضر مع شي واحد اللي يلاه تلاقيتيه ولا ما كتعرفوش مزيان احسن حاجة ديرها هي تعتبرو فحال شي واحد عندك معاه وشي واحد كتعرفو من شحال هادي ملي كدير 
5DxuR1YuhSw-1006.7.wav,هادشي كترسل واحد الطاقة او ملي كنقولك الطاقة راه ماشي شي حاجة ديال التخاطر او داكشي لي مع عندو حتى اساس علمي كنهضر ليك على التصرفات ديالك وكلشي داكشي لي داير بيك 
5DxuR1YuhSw-1016.7.wav,استقبلو لاخر على اساس طاقة ايجابية كيحس براسو عزيز عليك وبالتالي نتا كاتعزاز عليه او من هنا هو كيصيفط ليك واحد الطاقة ديال الحب او نتا 
5DxuR1YuhSw-1026.7.wav,استقبلها وكيولي عزيز عليك دابا هادشي لي كنهضر ليك عليه من الصباح شنو هو كنت كنهضر معاك على كيفاش تصنع واحد لغة جسد مرحبة يعني بنادم غيرتاح يجي ويهضر معاك ولكن هذا لا يعني 
5DxuR1YuhSw-1039.05.wav,انك غتولي انجيلينا جولي غتجبد وبنادم ينقز عليك باش يهضر معاك شي بعض المرات اتخصك انت ولا انت اللي تنوض وتقصد هاديك اللي باغي تهضر معاه فكيغادير لهاد العملية 
5DxuR1YuhSw-1049.05.wav,اول حاجة ديرها هي تقرا الوضع تعرف واش هاديك لي قدامك عندو ولا معندوش مشكل الى انك تمشي تهضر معاه كتعرف هادشي عن طريق انك كتعرف هادشي اللي من الصباح وانا كنقولو لك 
5DxuR1YuhSw-1059.05.wav,حيت الأغلبية ديال الناس راه مقاريينش هاد الكتاب وما سامعينش الأغلبية ديال الناس راه عايشين غا مدرمين دونك الأغلبية ديال الناس لغة الجسد ديالهم كتعكس النفسية ديالهم 
5DxuR1YuhSw-1069.05.wav,اذا الا لقيتي شي واحد جالس وجامع رجلو وكتحس بيه ما مرتاحش ولكن تمشى مطوي فغالبا وخا تمشي تهدر معاه مغتاخدش ديك ردة الفعل لي باغيها 
5DxuR1YuhSw-1079.05.wav,وا حتى لا هضرتي معاه ايلا ما شفتيهش دار لجيهتك وفتح لغة الجسد ديالو وكيهضر مرتاح فهو غالبا حتى هو معوق اجتماعيا وماباغيش يهضر معاك ولكن 
5DxuR1YuhSw-1089.05.wav,واخا ميكونوش باغين يهضرو معاك عادي غير سير عندهم وطبق داكشي هادشي اللي هضرنا عليه من قبيلا وهادشي اللي غانهضرو عليه وما تقولش شي حاجة اللي وقحة راك 
5DxuR1YuhSw-1099.05.wav,راك غالبا مغتخليهم يتفتحو ليك حتا هوما ويبغيوك وتعزاز عليهم ويرتاحو معاك كاينة واحد التقنية كتهضر عليها الكاتبة ولي هي الميرورينغ هادي عادة 
5DxuR1YuhSw-1109.05.wav,كيخدموها النصابة ولا البياعة ملي كيكون باغي يبيع ليك شي حاجة وهي كيقلد بغات الجسد ديالك كنتي حاط يديك فوق الطابلة حتى هو كيحطها كنتي حاط رجل فوق رجل 
5DxuR1YuhSw-1119.05.wav,حتى هو كيديرها ولكن كتبالي فالهضرة وفالحياة اليومية هادشي ما عندوش قيمة وعلاش باش مكيعجبنيش هادشي حيت غير كيخليك تعطي قيمة كبيرة لواحد الحاجة عادية 
5DxuR1YuhSw-1129.05.wav,الرأي ديالي انا وصافي ما عنديش الكانة نوض نهضر مع شي واحد ونبدا نشوف لغة الجسد ديالو نبدا نقلدو تا شكون هو قاع بالسلامة حتى ملي كتبدا تقلد كيأتر حتى على النفس 
5DxuR1YuhSw-1139.05.wav,النفسية ديالك هادشي وكتولي واخد هادشي بجدية وفاللخر كيتقلب ضدك وبلا ما تحس كتلقى راسك ماشي مرتاح فالحوار وباغي تعجب لاخر صافي سير وهدر 
5DxuR1YuhSw-1149.05.wav,المهم هادشي لا من الصباح وانا كنهضر ليك عليه هو نون فيربال سيكنالز بمعنى الاشارات الغير اللفظية واللي عندها علاقة مباشرة بالانطباع الاول 
5DxuR1YuhSw-1159.05.wav,خلينا نهضرو دابا على الفيربال سيكنالز في البارتي الجاية من البودكاست من بعد ما هدرنا على الاشارات غير اللفظية خلينا نهضرو على النوع الاخر من الاشارات وغانركزوا فهاد البارتي كيفاش انك تخرج راسك من داك التصنيف ديال  
5DxuR1YuhSw-1175.25.wav,راسك فالتصنيف ديال المعارف كيفاش دابا واحد الإنسان ملي اول مرة كتهضر معاه ولا كتجمعكم شي حاجة كتكون بالنسبة ليه شخص غريب مكيعرفكش 
5DxuR1YuhSw-1185.25.wav,غالبا ما اينفوا غتفارقو عمرو غيعاود يفكر فيك وغينسى كاع بلي شي نهار تلاقيتو علاش حيت تلاقيتو وبقيتي شخص غريب بالنسبة ليه فهاد البارتي من الفيديو 
